,Polarity,Sensitivity,Tweet_vol,Open,High,Low,Close_Price,Volume_BTC,Volume_Dollar
2018-07-16 17:00:00,0.10487584012803086,0.22430729253806994,5898.0,6628.12,6652.26,6610.63,6617.04,697.8,4633743.83
2018-07-16 18:00:00,0.09189594855473172,0.22327380578556333,5539.0,6619.98,6724.78,6613.72,6665.62,933.84,6232959.77
2018-07-16 19:00:00,0.10079133823349082,0.22437945772881346,4967.0,6665.8,6700.0,6659.51,6660.56,436.1,2913361.09
2018-07-16 20:00:00,0.09804340086611076,0.20411718528510103,4937.0,6661.02,6689.94,6635.0,6675.01,297.5,1981897.93
2018-07-16 21:00:00,0.09274331640552068,0.21826697869065195,4692.0,6674.96,6674.96,6651.01,6661.11,245.83,1638392.23
2018-07-16 22:00:00,0.09794827588098068,0.2304500396151745,4290.0,6656.59,6668.32,6641.35,6661.66,151.51,1008524.63
2018-07-16 23:00:00,0.08960596210615844,0.21113579037868058,3996.0,6659.17,6697.23,6651.91,6671.97,188.37,1257005.96
2018-07-17 00:00:00,0.08441498966342256,0.2037877247804514,4159.0,6668.87,6755.0,6662.04,6721.04,699.65,4700740.52
2018-07-17 01:00:00,0.07757985257908753,0.18945709572627084,4146.0,6721.21,6741.59,6700.36,6740.87,375.73,2526123.13
2018-07-17 02:00:00,0.07779411857484508,0.18151144554436457,4063.0,6741.59,6749.11,6696.0,6721.0,247.99,1666318.6
2018-07-17 03:00:00,0.08803316649020877,0.1952945358226273,3542.0,6720.99,6734.87,6712.29,6734.4,194.25,1307163.64
2018-07-17 04:00:00,0.0806055176814734,0.1885409205374097,3596.0,6734.4,6749.7,6724.5,6738.86,247.25,1665494.07
2018-07-17 05:00:00,0.07906925575205598,0.19812163257553825,3943.0,6738.86,6755.14,6702.91,6707.47,328.33,2207847.78
2018-07-17 06:00:00,0.08166557090545308,0.19882072906332557,3782.0,6706.12,6718.3,6679.58,6688.11,306.45,2053621.55
2018-07-17 07:00:00,0.08926668742545193,0.19717730891360571,3740.0,6689.3,6696.63,6657.95,6670.93,387.29,2587491.88
2018-07-17 08:00:00,0.08669627364776912,0.20270935828254522,4895.0,6671.21,6702.19,6668.64,6698.76,194.46,1300997.96
2018-07-17 09:00:00,0.08404939264271787,0.19747495622359693,4598.0,6699.66,6734.78,6694.19,6715.07,341.46,2294438.1
2018-07-17 10:00:00,0.07728310090551337,0.213912814430054,4858.0,6719.97,6719.97,6693.17,6702.3,173.23,1161670.06
2018-07-17 11:00:00,0.0880541898029587,0.21086802375649,5356.0,6697.33,6720.0,6696.01,6718.26,155.38,1042120.84
2018-07-17 12:00:00,0.09866325851638935,0.22829437247301043,5903.0,6719.21,6724.34,6675.63,6683.14,201.22,1348614.56
2018-07-17 13:00:00,0.09947119183344791,0.21600808100382315,5666.0,6682.19,6708.01,6674.6,6699.3,341.78,2287346.9
2018-07-17 14:00:00,0.10386293404796708,0.23763323401516648,5770.0,6699.76,6710.0,6682.88,6697.53,207.8,1391864.94
2018-07-17 15:00:00,0.10365502473897838,0.2271468083106765,5911.0,6696.0,6764.47,6690.25,6718.0,477.88,3212613.38
2018-07-17 16:00:00,0.09877498471380912,0.21739572998063075,6300.0,6718.0,6789.0,6711.68,6779.23,407.12,2747512.48
2018-07-17 17:00:00,0.09924709835707923,0.21905868387840996,5622.0,6778.18,6778.18,6733.51,6751.72,294.3,1986746.72
2018-07-17 18:00:00,0.09450994365782446,0.2215815521217022,7995.0,6748.56,7264.47,6745.83,7183.99,2640.49,18620560.8
2018-07-17 19:00:00,0.08938425271174924,0.23788686788771463,10452.0,7186.99,7468.31,7171.33,7346.91,2600.32,19126407.89
2018-07-17 20:00:00,0.08826820193223708,0.22801567852606405,7354.0,7348.42,7375.65,7295.13,7295.13,874.26,6408774.66
2018-07-17 21:00:00,0.08757832718459517,0.2214965284757343,6001.0,7295.13,7332.21,7295.13,7317.11,582.84,4263944.05
2018-07-17 22:00:00,0.1008184566140006,0.2294863930179655,5717.0,7317.11,7388.38,7312.89,7360.6,378.16,2781076.34
2018-07-17 23:00:00,0.08739853380203028,0.20683654015580474,5405.0,7360.6,7379.0,7269.84,7310.56,474.87,3475255.97
2018-07-18 00:00:00,0.1045865360500456,0.22565920099699413,4989.0,7315.57,7338.55,7296.6,7310.71,270.47,1979623.49
2018-07-18 01:00:00,0.10426692766856506,0.21505424940676235,4636.0,7310.71,7369.52,7310.71,7341.22,245.16,1799395.28
2018-07-18 02:00:00,0.09539051572444872,0.19786297896745195,4829.0,7342.1,7352.41,7315.01,7336.99,125.74,922275.1
2018-07-18 03:00:00,0.10018737266442314,0.22056466916427328,4799.0,7335.94,7449.68,7328.49,7401.0,511.71,3775483.69
2018-07-18 04:00:00,0.10003658691113308,0.2101050860182842,5090.0,7401.0,7546.68,7401.0,7458.54,1576.15,11798048.6
2018-07-18 05:00:00,0.09632101300041453,0.19897012116782833,4972.0,7459.92,7471.41,7400.0,7433.0,351.11,2608164.78
2018-07-18 06:00:00,0.10810567198577285,0.207820908573004,4653.0,7433.0,7481.07,7416.27,7459.23,281.91,2097039.92
2018-07-18 07:00:00,0.09837631003006125,0.19710796290408278,5090.0,7459.23,7477.57,7449.25,7464.86,304.67,2272795.48
2018-07-18 08:00:00,0.10286441641920263,0.20909074678772246,6332.0,7464.36,7466.0,7403.8,7433.46,665.62,4944348.99
2018-07-18 09:00:00,0.10236345987876981,0.19955449527023683,5765.0,7436.58,7437.98,7317.83,7362.08,773.15,5691054.24
2018-07-18 10:00:00,0.09893850443227255,0.2046419638769042,5694.0,7362.98,7395.63,7361.96,7395.63,338.75,2499982.03
2018-07-18 11:00:00,0.08721378948642723,0.2032788516145943,5534.0,7392.63,7424.42,7362.19,7397.61,269.83,1996662.83
2018-07-18 12:00:00,0.08452868963858902,0.1967379603371713,6844.0,7397.61,7434.45,7380.97,7410.65,386.63,2866370.21
2018-07-18 13:00:00,0.08691865918191352,0.2087650779072129,7171.0,7415.62,7468.31,7407.48,7430.0,462.37,3441667.99
2018-07-18 14:00:00,0.09715237581185095,0.21514405704510087,7209.0,7433.99,7461.62,7385.98,7449.43,383.98,2851271.78
2018-07-18 15:00:00,0.09719707503910036,0.21409182163019394,7222.0,7445.35,7525.17,7425.76,7446.3,630.39,4706264.24
2018-07-18 16:00:00,0.09856703142075099,0.2202711406680848,6733.0,7442.35,7442.35,7378.0,7422.88,817.06,6055122.46
2018-07-18 17:00:00,0.10700218237766847,0.23218631464650252,6493.0,7417.81,7451.99,7410.89,7431.18,221.67,1647469.3
2018-07-18 18:00:00,0.11935964400029593,0.2412866586996249,5765.0,7433.67,7513.38,7428.63,7500.86,1103.91,8247570.88
2018-07-18 19:00:00,0.11004891527390548,0.23781049893042727,6211.0,7498.5,7599.98,7376.0,7428.05,1490.02,11172723.69
2018-07-18 20:00:00,0.10739199869227394,0.2435343418013375,5597.0,7422.02,7442.4,7339.12,7400.0,649.21,4794432.56
2018-07-18 21:00:00,0.10121197130126336,0.24342249598605295,5381.0,7393.77,7393.77,7239.15,7336.18,949.03,6922391.06
2018-07-18 22:00:00,0.10244741599158627,0.2372899450019039,4597.0,7337.99,7357.26,7299.92,7332.6,177.31,1300009.44
2018-07-18 23:00:00,0.09582295967638109,0.2256543350124587,4333.0,7325.66,7388.99,7278.88,7359.68,324.78,2380734.14
2018-07-19 00:00:00,0.07359266204853114,0.2197580252511022,4225.0,7362.54,7394.09,7340.71,7374.88,307.69,2268343.66
2018-07-19 01:00:00,0.09088181849508362,0.20757276547809897,4603.0,7384.92,7384.92,7305.0,7340.77,201.54,1479387.55
2018-07-19 02:00:00,0.10544487159119767,0.21616249279499689,4281.0,7342.6,7342.6,7278.84,7298.95,286.2,2091067.8
2018-07-19 03:00:00,0.12028376135888792,0.22015166158516364,4346.0,7301.74,7342.45,7280.92,7323.19,322.28,2354462.88
2018-07-19 04:00:00,0.10575343210474507,0.20353374171222807,4618.0,7320.75,7357.26,7316.87,7316.87,131.57,965522.38
2018-07-19 05:00:00,0.11944988528427855,0.2214533082565211,4482.0,7319.58,7347.16,7305.67,7315.98,203.41,1490708.7
2018-07-19 06:00:00,0.11394853026434112,0.21496222114861868,4422.0,7312.37,7336.99,7300.33,7329.47,185.65,1359245.16
2018-07-19 07:00:00,0.11660140494215011,0.2260409974640744,4810.0,7329.47,7362.09,7326.23,7332.58,262.75,1929530.25
2018-07-19 08:00:00,0.1023458029899724,0.207998340958611,6110.0,7331.58,7345.39,7293.59,7310.83,202.74,1484532.8
2018-07-19 09:00:00,0.10890424448438829,0.21101233594732036,5441.0,7310.83,7338.41,7298.38,7324.03,358.44,2622125.54
2018-07-19 10:00:00,0.10259191610439748,0.19155543801644845,5681.0,7323.44,7420.0,7321.97,7408.79,532.98,3927556.9
2018-07-19 11:00:00,0.0975663460780615,0.20028688825882143,5861.0,7407.76,7420.71,7370.46,7374.87,218.13,1611513.72
2018-07-19 12:00:00,0.1047050981897102,0.22154672720611884,6197.0,7374.83,7434.34,7359.94,7416.99,624.64,4622003.24
2018-07-19 13:00:00,0.10366334418573638,0.21574768659840193,6151.0,7417.6,7452.0,7406.78,7423.27,334.26,2482521.47
2018-07-19 14:00:00,0.10688106583353107,0.2225492788314022,6584.0,7423.27,7513.0,7414.05,7486.65,703.35,5248927.21
2018-07-19 15:00:00,0.11044259314994789,0.23389621690747173,6786.0,7484.21,7484.21,7431.1,7448.6,485.06,3616235.46
2018-07-19 16:00:00,0.11669284158808874,0.2348234412544244,6886.0,7454.44,7483.29,7363.63,7391.83,735.65,5462758.12
2018-07-19 17:00:00,0.0987222188441986,0.21150099988977505,6205.0,7391.83,7419.99,7348.27,7371.86,609.23,4499487.53
2018-07-19 18:00:00,0.10839835323482974,0.23050014608126312,5922.0,7363.07,7431.1,7358.62,7422.04,353.88,2620114.63
